name,inward_label,outward_label,total_count,inward_direction_count,outward_direction_count,num_repositories,repositories
Collection,is included In,includes,30,15,15,1,SecondLife
Cloners,Cloned to,Cloned from,28,14,14,1,Spring
Implements,is implemented by,implements,26,13,13,1,Sonatype
Git Code Review,opened during git code review in,git code review opened,16,8,8,1,Hyperledger
Preceded By,Preceded By,Precedes,14,7,7,1,JiraEcosystem
6 - Blocks,is blocked by,blocks,12,6,6,1,Sakai
start-finish [GANTT],start is earliest end of,earliest end is start of,8,4,4,1,RedHat
Gantt Start to Start,has to be started together with,has to be started together with,6,3,3,3,IntelDAOS;JFrog;MongoDB
Initiative,included in Initiative,includes Epic(s),4,2,2,1,MongoDB
Covered,is covered by,covers,4,2,2,1,Qt
Finish-to-Finish link (WBSGantt),can't finish until the linked issue is done.,Linked one can't finish until this issue is done.,2,1,1,1,JFrog
Polaris datapoint issue link,added to idea,is idea for,2,1,1,1,JiraEcosystem
Polaris issue link,is implemented by,implements,2,1,1,1,JiraEcosystem
Gantt: start-start,has to be started together with,has to be started together with,2,1,1,1,RedHat
7 - Git Code Review,opened during git code review in,git code review opened,2,1,1,1,Sakai
